Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
2019/2020,Milwaukee Bucks,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,+9.5,105.1,.271,.428,.583,.552,12.9,20.7,.201,.489,12.0,81.6,.178
2019/2020,Boston Celtics,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,+6.3,99.5,.259,.386,.570,.531,12.2,23.9,.207,.509,13.5,77.4,.215
2019/2020,Los Angeles Clippers,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,+6.3,101.5,.295,.375,.577,.535,12.6,23.5,.233,.506,12.2,77.6,.206
2019/2020,Toronto Raptors,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105.0,+6.1,100.9,.264,.421,.574,.536,13.1,21.3,.210,.502,14.6,76.7,.202
2019/2020,Los Angeles Lakers,29.5,52,19,48,23,5.79,0.49,6.28,112.0,106.3,+5.7,100.9,.276,.358,.573,.542,13.3,24.5,.201,.515,14.1,78.8,.205
2019/2020,Dallas Mavericks,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,.545,11.2,23.2,.206,.525,10.6,77.7,.175
2019/2020,Miami Heat,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,+3.0,98.3,.299,.419,.587,.547,13.5,20.3,.234,.523,12.6,79.5,.213
2019/2020,Houston Rockets,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,+2.8,103.7,.288,.501,.578,.537,12.6,21.0,.228,.529,13.7,75.6,.197
2019/2020,Utah Jazz,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,+2.4,98.6,.268,.414,.585,.549,13.7,21.6,.208,.518,11.1,78.9,.185
2019/2020,Philadelphia 76ers,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109.0,+2.3,99.0,.255,.360,.566,.534,12.7,23.9,.193,.523,12.5,80.3,.214
2019/2020,Denver Nuggets,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,.535,12.3,24.8,.183,.533,12.9,76.8,.198
2019/2020,Indiana Pacers,25.6,45,28,41,32,1.96,-0.33,1.63,110.0,108.0,+2.0,98.9,.216,.317,.565,.534,12.0,20.0,.170,.511,13.0,76.7,.192
2019/2020,Oklahoma City Thunder,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,+2.0,98.8,.290,.353,.573,.530,12.4,19.3,.231,.518,12.6,76.8,.173
2019/2020,Phoenix Suns,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,+0.3,101.3,.271,.361,.576,.532,13.0,22.2,.226,.539,13.7,78.8,.221
2019/2020,Brooklyn Nets,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,.520,13.1,23.2,.199,.511,11.0,77.8,.187
2019/2020,Orlando Magic,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,.256,.364,.544,.506,11.5,22.3,.198,.535,13.2,79.1,.176
2019/2020,San Antonio Spurs,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,.262,.318,.572,.531,11.2,20.1,.212,.542,11.7,79.2,.193
2019/2020,Memphis Grizzlies,24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,.240,.346,.561,.528,13.2,23.0,.183,.521,12.7,77.8,.217
2019/2020,Portland Trail Blazers,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,.242,.374,.570,.533,11.2,22.4,.194,.530,11.2,75.3,.208
2019/2020,New Orleans Pelicans,25.4,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,.256,.403,.568,.539,13.9,24.2,.186,.532,12.4,77.8,.212
2019/2020,Sacramento Kings,27.0,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,.230,.395,.566,.534,13.0,21.9,.177,.543,13.6,78.4,.225
2019/2020,Chicago Bulls,24.4,22,43,26,39,-3.08,-0.93,-4.00,106.7,109.8,-3.1,99.7,.231,.396,.547,.515,13.7,22.8,.175,.546,16.3,75.6,.239
2019/2020,Detroit Pistons,25.9,20,46,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,.261,.381,.561,.529,13.8,22.6,.194,.541,12.7,75.9,.186
2019/2020,Minnesota Timberwolves,24.8,19,45,24,40,-4.30,0.28,-4.02,108.1,112.2,-4.1,103.4,.277,.433,.551,.514,13.0,22.1,.209,.541,13.2,77.2,.218
2019/2020,Washington Wizards,25.1,25,47,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,.270,.358,.562,.523,12.2,22.2,.213,.558,13.9,75.3,.231
2019/2020,New York Knicks,24.5,21,45,20,46,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,.263,.318,.531,.501,12.6,25.8,.182,.541,12.4,78.3,.224
2019/2020,Charlotte Hornets,24.3,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,.252,.399,.539,.504,13.3,23.9,.188,.546,13.1,74.4,.159
2019/2020,Atlanta Hawks,24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,.258,.398,.554,.515,13.8,21.6,.204,.543,12.7,74.9,.233
2019/2020,Cleveland Cavaliers,25.0,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,.227,.362,.553,.522,14.6,24.6,.172,.560,11.7,77.4,.164
2019/2020,Golden State Warriors,24.4,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,.264,.355,.540,.497,13.2,21.5,.212,.553,13.7,76.4,.193
2019/2020,Seattle Storm,27.8,18,4,19,3,11.55,-0.96,10.58,110.4,95.9,+14.5,79.2,.278,.315,.575,.532,14.8,23.4,.227,.454,16.7,74.0,.202
2019/2020,Las Vegas Aces,27.1,18,4,18,4,8.59,-0.72,7.88,109.6,99.0,+10.6,81.0,.340,.167,.562,.507,13.4,24.6,.277,.485,14.9,78.9,.157
2019/2020,Los Angeles Sparks,28.6,15,7,15,7,4.59,-0.38,4.21,105.9,100.2,+5.7,79.2,.251,.271,.571,.535,15.8,19.5,.199,.511,18.9,76.0,.204
2019/2020,Minnesota Lynx,24.8,14,8,14,8,3.82,-0.32,3.50,109.6,104.6,+5.0,77.0,.273,.321,.562,.518,15.9,30.4,.223,.505,16.3,75.1,.217
2019/2020,Chicago Sky,27.2,12,10,13,9,2.64,-0.22,2.42,107.6,104.3,+3.3,80.7,.218,.317,.580,.547,16.6,23.3,.178,.503,15.0,76.4,.205
2019/2020,Phoenix Mercury,28.0,13,9,13,9,2.00,-0.17,1.83,106.8,104.3,+2.5,80.2,.314,.366,.564,.513,15.5,22.2,.259,.477,14.2,73.1,.233
2019/2020,Connecticut Sun,27.5,10,12,11,11,0.45,-0.04,0.42,101.7,101.1,+0.6,78.6,.288,.273,.513,.469,14.5,27.8,.217,.495,16.9,78.4,.238
2019/2020,Washington Mystics,27.1,9,13,10,12,-1.55,0.13,-1.42,103.5,105.5,-2.0,76.4,.220,.356,.532,.493,13.9,21.2,.181,.524,16.4,76.1,.217
2019/2020,Dallas Wings,23.8,8,14,8,14,-3.55,0.30,-3.25,105.9,110.4,-4.5,77.8,.270,.389,.525,.478,12.1,24.4,.220,.521,15.1,73.4,.257
2019/2020,Atlanta Dream,25.8,7,15,5,17,-6.68,0.56,-6.13,100.1,108.4,-8.3,80.0,.227,.237,.518,.484,15.5,25.3,.172,.513,14.1,75.7,.231
2019/2020,Indiana Fever,25.5,6,16,5,17,-7.86,0.66,-7.21,104.0,114.0,-10.0,78.5,.290,.300,.543,.493,16.6,26.9,.238,.521,11.8,74.7,.252
2019/2020,New York Liberty,24.3,2,20,2,20,-14.00,1.17,-12.83,88.6,105.9,-17.3,81.1,.280,.415,.485,.430,18.5,21.6,.230,.491,12.9,77.5,.208
2020/2021,Utah Jazz,28.5,52,20,55,17,9.25,-0.29,8.97,117.6,108.3,+9.3,98.5,.244,.488,.597,.563,12.7,24.5,.195,.507,10.3,79.3,.159
2020/2021,Los Angeles Clippers,28.8,47,25,49,23,6.18,-0.16,6.02,117.6,111.2,+6.4,96.9,.222,.400,.599,.564,12.2,22.7,.186,.531,11.9,79.1,.186
2020/2021,Phoenix Suns,26.6,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,+5.9,97.2,.212,.392,.597,.564,11.5,20.8,.177,.534,12.4,78.5,.194
2020/2021,Milwaukee Bucks,28.1,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,+5.8,102.2,.233,.404,.593,.566,12.0,23.3,.177,.536,11.5,79.7,.157
2020/2021,Philadelphia 76ers,27.1,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,+5.6,99.5,.293,.347,.579,.541,12.8,23.2,.225,.521,13.8,78.2,.200
2020/2021,Denver Nuggets,26.1,47,25,47,25,4.93,-0.11,4.82,117.1,112.1,+5.0,97.1,.219,.383,.588,.557,12.1,24.7,.176,.545,12.9,78.9,.200
2020/2021,Brooklyn Nets,28.2,48,24,46,26,4.50,-0.27,4.24,118.3,113.8,+4.5,99.5,.258,.413,.610,.575,12.2,21.4,.208,.531,11.1,77.3,.187
2020/2021,Los Angeles Lakers,28.2,42,30,42,30,2.79,-0.03,2.77,109.9,107.1,+2.8,98.7,.271,.363,.569,.536,13.6,22.5,.200,.526,13.7,79.7,.184
2020/2021,Dallas Mavericks,26.3,42,30,41,31,2.26,-0.01,2.26,115.4,113.0,+2.4,97.3,.242,.436,.582,.550,11.1,21.1,.189,.534,11.5,77.8,.197
2020/2021,New York Knicks,25.6,41,31,41,31,2.31,-0.18,2.13,110.6,108.2,+2.4,95.9,.242,.347,.559,.524,11.9,21.9,.190,.509,11.7,78.6,.196
2020/2021,Atlanta Hawks,25.4,41,31,41,31,2.32,-0.18,2.14,115.7,113.3,+2.4,97.6,.278,.382,.581,.539,11.9,24.4,.226,.530,11.1,77.8,.190
2020/2021,Portland Trail Blazers,27.4,42,30,40,32,1.79,0.01,1.81,117.8,116.0,+1.8,98.4,.238,.448,.577,.540,9.9,23.0,.195,.546,11.2,77.5,.203
2020/2021,Boston Celtics,25.1,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,+1.5,98.3,.234,.409,.574,.543,12.5,24.3,.181,.539,12.8,78.1,.215
2020/2021,Golden State Warriors,26.7,39,33,38,34,1.06,0.04,1.10,111.1,110.1,+1.0,102.2,.239,.439,.583,.551,13.3,17.9,.188,.522,13.1,76.6,.223
2020/2021,Memphis Grizzlies,24.2,38,34,38,34,1.03,0.04,1.07,112.0,111.0,+1.0,100.4,.232,.342,.560,.528,11.6,24.2,.179,.535,13.1,78.3,.196
2020/2021,Miami Heat,27.4,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,.252,.432,.581,.546,13.1,19.4,.199,.542,13.8,77.9,.183
2020/2021,Indiana Pacers,26.5,34,38,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,.227,.372,.575,.542,11.9,20.2,.180,.531,12.7,74.9,.201
2020/2021,New Orleans Pelicans,24.8,31,41,35,37,-0.29,0.10,-0.20,113.5,113.8,-0.3,100.1,.293,.342,.570,.537,12.7,26.3,.214,.550,11.9,80.0,.186
2020/2021,Toronto Raptors,26.6,27,45,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,.241,.444,.567,.529,11.9,20.8,.196,.543,14.4,76.3,.234
2020/2021,Chicago Bulls,25.6,31,41,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,.197,.383,.575,.547,13.6,22.3,.156,.538,11.6,80.3,.196
2020/2021,San Antonio Spurs,26.2,33,39,32,40,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,.243,.314,.554,.517,10.2,20.0,.192,.541,11.8,77.3,.174
2020/2021,Washington Wizards,26.6,34,38,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,.288,.319,.569,.531,12.3,21.3,.221,.539,12.5,77.6,.217
2020/2021,Charlotte Hornets,24.6,33,39,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,.238,.422,.564,.532,13.3,23.5,.181,.550,13.2,75.7,.163
2020/2021,Sacramento Kings,25.6,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,.248,.376,.578,.549,12.0,21.3,.185,.557,12.1,75.0,.199
2020/2021,Detroit Pistons,24.5,20,52,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,.273,.385,.556,.519,13.5,21.9,.207,.541,12.6,76.9,.195
2020/2021,Minnesota Timberwolves,23.2,23,49,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,.254,.413,.555,.520,12.4,22.7,.193,.556,13.3,76.8,.207
2020/2021,Houston Rockets,26.5,17,55,20,52,-7.90,0.40,-7.50,107.1,114.9,-7.8,101.4,.252,.459,.553,.521,13.0,19.8,.187,.555,12.9,77.1,.201
2020/2021,Cleveland Cavaliers,24.0,22,50,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,.261,.347,.543,.508,13.9,23.6,.194,.556,13.0,76.6,.183
2020/2021,Orlando Magic,25.6,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,.240,.356,.527,.490,11.5,21.6,.186,.547,11.5,78.2,.169
2020/2021,Oklahoma City Thunder,22.8,22,50,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,.242,.399,.539,.509,14.2,21.2,.176,.547,11.5,77.9,.167
2020/2021,Connecticut Sun,28.3,26,6,28,4,9.81,-0.95,8.86,106.9,93.7,+13.2,74.0,.270,.298,.543,.497,15.9,31.2,.220,.459,16.1,82.1,.201
2020/2021,Las Vegas Aces,26.4,24,8,26,6,9.06,-0.62,8.44,109.1,98.0,+11.1,80.8,.312,.192,.559,.508,12.6,21.3,.255,.464,12.5,80.0,.165
2020/2021,Seattle Storm,28.1,21,11,22,10,4.44,-0.63,3.80,106.3,100.7,+5.6,78.2,.246,.328,.556,.512,13.9,20.9,.206,.483,14.4,78.6,.180
2020/2021,Minnesota Lynx,27.6,22,10,21,11,4.00,-0.37,3.63,104.2,99.1,+5.1,78.7,.260,.296,.553,.508,15.8,22.3,.218,.476,14.6,79.7,.194
2020/2021,Phoenix Mercury,28.4,19,13,19,13,2.56,-0.12,2.45,106.5,103.2,+3.3,76.4,.295,.332,.553,.507,14.7,23.8,.235,.466,11.3,75.1,.167
2020/2021,Chicago Sky,28.4,16,16,18,14,1.31,-0.22,1.10,102.9,101.3,+1.6,79.6,.243,.304,.538,.493,15.1,23.8,.205,.480,15.9,73.9,.212
2020/2021,Dallas Wings,24.8,14,18,15,17,-0.53,0.30,-0.23,104.3,105.0,-0.7,77.2,.233,.327,.521,.477,14.1,27.8,.193,.505,14.1,77.6,.206
2020/2021,Washington Mystics,28.7,12,20,11,21,-3.84,0.26,-3.58,101.5,106.4,-4.9,78.3,.251,.396,.519,.475,13.7,21.9,.203,.520,15.3,76.4,.208
2020/2021,Los Angeles Sparks,27.5,12,20,10,22,-4.34,0.55,-3.79,93.7,99.3,-5.6,77.1,.237,.306,.501,.462,15.4,17.4,.181,.476,19.2,71.4,.267
2020/2021,Atlanta Dream,27.4,8,24,9,23,-5.63,0.24,-5.38,99.3,106.4,-7.1,78.6,.214,.269,.489,.459,12.1,24.6,.154,.520,16.8,73.7,.234
2020/2021,New York Liberty,25.7,12,20,7,25,-7.03,0.71,-6.32,97.0,105.7,-8.7,80.6,.222,.420,.541,.504,18.2,18.4,.181,.488,13.2,75.2,.203
2020/2021,Indiana Fever,27.3,6,26,5,27,-9.81,0.85,-8.97,97.4,110.1,-12.7,77.3,.249,.253,.498,.453,15.4,27.4,.199,.517,13.6,75.6,.222
2021/2022,Boston Celtics,26.1,51,31,59,23,7.28,-0.26,7.02,114.4,106.9,+7.5,96.6,.239,.425,.578,.542,12.4,24.0,.195,.502,12.5,77.3,.183
2021/2022,Phoenix Suns,27.5,64,18,59,23,7.50,-0.56,6.94,114.8,107.3,+7.5,99.8,.221,.354,.581,.549,11.6,22.3,.176,.510,13.0,77.1,.195
2021/2022,Utah Jazz,29.3,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,+6.2,97.1,.271,.468,.589,.555,12.7,25.4,.208,.521,10.9,78.3,.164
2021/2022,Memphis Grizzlies,24.0,56,26,55,27,5.68,-0.32,5.37,114.6,109.0,+5.6,100.3,.245,.346,.553,.522,11.2,30.0,.180,.523,13.3,77.8,.195
2021/2022,Golden State Warriors,27.6,53,29,55,27,5.54,-0.02,5.52,112.5,106.9,+5.6,98.4,.235,.456,.582,.552,13.5,22.8,.181,.509,13.0,78.7,.201
2021/2022,Miami Heat,28.2,53,29,53,29,4.45,-0.22,4.23,113.7,109.1,+4.6,95.9,.252,.422,.584,.547,13.4,23.5,.204,.524,13.8,78.0,.209
2021/2022,Dallas Mavericks,26.7,52,30,50,32,3.30,-0.18,3.12,112.8,109.4,+3.4,95.4,.249,.439,.572,.538,11.7,21.3,.192,.521,12.2,78.0,.185
2021/2022,Milwaukee Bucks,28.5,51,31,49,33,3.35,-0.14,3.22,115.1,111.8,+3.3,99.9,.257,.430,.580,.546,11.9,23.0,.199,.536,11.6,78.6,.165
2021/2022,Philadelphia 76ers,26.8,51,31,48,34,2.61,-0.04,2.57,113.5,110.8,+2.7,96.2,.282,.376,.578,.534,11.6,20.1,.232,.524,12.1,76.8,.192
2021/2022,Minnesota Timberwolves,24.2,46,36,48,34,2.63,-0.10,2.53,114.3,111.7,+2.6,100.9,.254,.454,.573,.539,12.4,24.4,.198,.535,14.2,74.9,.227
2021/2022,Denver Nuggets,27.7,48,34,47,35,2.30,-0.15,2.16,114.5,112.1,+2.4,97.8,.244,.416,.590,.556,13.2,21.9,.194,.537,11.7,78.3,.188
2021/2022,Toronto Raptors,24.8,48,34,47,35,2.29,0.08,2.38,112.9,110.5,+2.4,96.0,.234,.375,.543,.510,11.0,28.4,.177,.535,14.4,75.6,.199
2021/2022,Cleveland Cavaliers,24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,+2.2,96.1,.261,.387,.571,.538,13.2,24.0,.198,.520,12.3,76.5,.172
2021/2022,Atlanta Hawks,26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,+1.6,97.7,.253,.390,.581,.543,10.8,23.0,.205,.543,11.5,76.9,.177
2021/2022,Brooklyn Nets,29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,+0.8,99.0,.246,.359,.576,.540,12.5,23.9,.198,.521,11.7,75.1,.201
2021/2022,Charlotte Hornets,25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,+0.4,100.0,.234,.418,.572,.544,11.6,23.3,.173,.544,13.1,74.8,.187
2021/2022,San Antonio Spurs,24.5,34,48,41,41,0.12,-0.10,0.02,112.4,112.3,+0.1,100.0,.220,.345,.556,.527,11.1,23.7,.166,.532,12.1,75.1,.176
2021/2022,Los Angeles Clippers,27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0.0,98.0,.224,.391,.564,.531,12.5,20.6,.178,.514,12.0,74.4,.167
2021/2022,New York Knicks,26.0,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,.280,.428,.550,.513,12.0,25.1,.208,.521,11.7,78.8,.198
2021/2022,Chicago Bulls,26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,.248,.332,.579,.541,11.8,20.4,.201,.541,11.9,78.3,.199
2021/2022,New Orleans Pelicans,25.6,36,46,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,.264,.365,.557,.517,12.5,26.9,.208,.547,13.0,78.2,.196
2021/2022,Los Angeles Lakers,30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,.259,.388,.567,.537,12.8,21.1,.190,.540,12.2,75.8,.192
2021/2022,Washington Wizards,25.9,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,.252,.356,.568,.532,12.1,20.9,.197,.529,10.7,76.9,.202
2021/2022,Indiana Pacers,26.0,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,.239,.395,.564,.531,12.7,25.5,.184,.552,11.9,76.2,.204
2021/2022,Sacramento Kings,25.8,30,52,28,54,-5.46,0.20,-5.26,109.9,115.3,-5.4,99.8,.264,.377,.561,.525,12.5,21.3,.203,.551,11.9,76.0,.176
2021/2022,Detroit Pistons,23.6,23,59,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,.249,.391,.533,.494,12.6,23.4,.194,.541,13.1,75.6,.226
2021/2022,Orlando Magic,23.3,22,60,21,61,-8.00,0.33,-7.67,104.5,112.5,-8.0,99.2,.223,.417,.538,.503,13.0,19.8,.175,.532,11.7,77.2,.196
2021/2022,Oklahoma City Thunder,22.4,24,58,21,61,-8.10,0.20,-7.90,104.6,112.8,-8.2,98.5,.223,.419,.530,.497,12.5,21.8,.169,.533,11.8,76.1,.169
2021/2022,Houston Rockets,24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,.284,.448,.565,.534,14.5,21.7,.202,.554,12.3,74.4,.206
2021/2022,Portland Trail Blazers,25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,.248,.422,.550,.515,13.0,22.9,.188,.559,12.7,76.9,.222
2021/2022,Connecticut Sun,28.0,25,11,29,7,8.03,-0.80,7.23,108.5,98.3,+10.2,78.5,.288,.261,.552,.508,15.6,31.6,.227,.494,17.6,79.5,.197
2021/2022,Las Vegas Aces,26.9,26,10,26,10,6.36,-0.59,5.78,111.9,104.0,+7.9,80.6,.282,.376,.573,.528,12.3,19.9,.232,.502,13.9,77.6,.185
2021/2022,Chicago Sky,30.0,26,10,25,11,5.00,-0.15,4.85,107.7,101.5,+6.2,79.2,.245,.309,.574,.535,15.5,22.7,.202,.483,14.4,76.2,.176
2021/2022,Washington Mystics,28.0,22,14,25,11,4.36,-0.55,3.82,103.5,97.8,+5.7,76.7,.268,.337,.538,.496,14.6,23.3,.210,.485,16.2,80.1,.195
2021/2022,Seattle Storm,29.7,22,14,24,12,4.11,-0.20,3.91,104.9,99.7,+5.2,78.3,.219,.372,.547,.509,14.5,21.8,.180,.485,16.1,75.0,.172
2021/2022,Dallas Wings,25.4,18,18,18,18,0.19,-0.16,0.04,106.6,106.3,+0.3,77.6,.304,.331,.536,.492,14.1,27.6,.232,.514,15.2,75.9,.224
2021/2022,Minnesota Lynx,28.5,14,22,16,20,-1.47,0.29,-1.19,104.4,106.3,-1.9,78.4,.290,.293,.545,.501,16.1,26.7,.227,.503,12.9,78.0,.199
2021/2022,New York Liberty,26.9,16,20,14,22,-2.39,0.42,-1.97,101.1,104.1,-3.0,77.9,.225,.414,.543,.504,16.6,20.7,.185,.469,13.0,75.4,.247
2021/2022,Atlanta Dream,26.2,14,22,13,23,-3.00,0.02,-2.98,98.1,101.8,-3.7,79.5,.253,.313,.516,.475,16.7,24.5,.197,.494,15.7,78.5,.240
2021/2022,Phoenix Mercury,29.9,15,21,14,22,-3.00,0.04,-2.97,102.6,106.4,-3.8,78.2,.280,.401,.543,.495,15.1,19.9,.229,.501,15.5,71.5,.222
2021/2022,Los Angeles Sparks,27.2,13,23,8,28,-7.11,0.62,-6.49,99.6,108.6,-9.0,79.5,.273,.253,.530,.487,15.6,20.6,.215,.532,17.1,73.5,.244
2021/2022,Indiana Fever,25.4,5,31,5,31,-11.08,1.06,-10.02,96.6,110.3,-13.7,80.2,.279,.290,.500,.458,16.3,26.6,.208,.526,15.5,72.7,.248
